多行文本,意图,中文意图,信息分类,是否用于实体抽取
非常感谢,express_thank_you,表示感谢,开放性对话,
感谢你的帮助,express_thank_you,表示感谢,开放性对话,
感谢有你,express_thank_you,表示感谢,开放性对话,
你的到来，让我很感激,express_thank_you,表示感谢,开放性对话,
说再多都不能表示出我对你的感谢,express_thank_you,表示感谢,开放性对话,
我该怎么感谢你呢,express_thank_you,表示感谢,开放性对话,
我要跟你说一声谢谢,express_thank_you,表示感谢,开放性对话,
我知道，所以我要谢谢你,express_thank_you,表示感谢,开放性对话,
谢了,express_thank_you,表示感谢,开放性对话,
谢谢你,express_thank_you,表示感谢,开放性对话,
谢谢你帮我做了攻略,express_thank_you,表示感谢,开放性对话,
谢谢你的关心,express_thank_you,表示感谢,开放性对话,
谢谢你对我的支持,express_thank_you,表示感谢,开放性对话,
谢谢你今天来参加我的毕业演出,express_thank_you,表示感谢,开放性对话,
谢谢你一直陪着我,express_thank_you,表示感谢,开放性对话,
真的很感谢你,express_thank_you,表示感谢,开放性对话,
你真是聪明伶俐,express_clever,表示聪明,开放性对话,
你脑子真好,express_clever,表示聪明,开放性对话,
你是个天才吧,express_clever,表示聪明,开放性对话,
你是怎么想到这么好的注意的,express_clever,表示聪明,开放性对话,
真的很聪明啊,express_clever,表示聪明,开放性对话,
你智商很高啊,express_clever,表示聪明,开放性对话,
你的脑子太好用了,express_clever,表示聪明,开放性对话,
思维永远比别人快,express_clever,表示聪明,开放性对话,
你精明的像个猴子一样,express_clever,表示聪明,开放性对话,
智商怎么这么高,express_clever,表示聪明,开放性对话,
你好聪明啊,express_clever,表示聪明,开放性对话,
你这件裙子真好看,express_cloth_good,表示衣服好看,开放性对话,
今天的穿搭很适合你,express_cloth_good,表示衣服好看,开放性对话,
你今天穿的真好看,express_cloth_good,表示衣服好看,开放性对话,
你这身材和这衣服在合适不过了,express_cloth_good,表示衣服好看,开放性对话,
这件衣服显着你更瘦了,express_cloth_good,表示衣服好看,开放性对话,
你穿这个衣服可真帅,express_cloth_good,表示衣服好看,开放性对话,
你的裙子很漂亮,express_cloth_good,表示衣服好看,开放性对话,
你今天穿的很适合你,express_cloth_good,表示衣服好看,开放性对话,
这件衣服真的很适合你,express_cloth_good,表示衣服好看,开放性对话,
你的衣服今天好好看啊,express_cloth_good,表示衣服好看,开放性对话,
加油,express_encourage,表示鼓励,开放性对话,
只要努力，一定会成功的,express_encourage,表示鼓励,开放性对话,
阳光总在风雨后，坚持就是胜利,express_encourage,表示鼓励,开放性对话,
没有登不上的山，没有过不去的坎,express_encourage,表示鼓励,开放性对话,
留的青山在，不怕没柴烧,express_encourage,表示鼓励,开放性对话,
大家稳住，我们能翻盘,express_encourage,表示鼓励,开放性对话,
没关系，可以再来,express_encourage,表示鼓励,开放性对话,
梦想是注定孤独的旅行，路上少不了质疑和嘲笑,express_encourage,表示鼓励,开放性对话,
全力以赴，不留遗憾,express_encourage,表示鼓励,开放性对话,
别放弃，还有机会再来,express_encourage,表示鼓励,开放性对话,
加油，还不到最后时刻,express_encourage,表示鼓励,开放性对话,
只管去努力，时间一定会给你想要的答案,express_encourage,表示鼓励,开放性对话,
你好帅,express_looks_good,表示长得好看,开放性对话,
你不化妆是天生丽质，化了妆是仙女下凡,express_looks_good,表示长得好看,开放性对话,
你生下来就这么好看吗,express_looks_good,表示长得好看,开放性对话,
看你都忘了吃饭了,express_looks_good,表示长得好看,开放性对话,
你可真养眼,express_looks_good,表示长得好看,开放性对话,
你长得真好看,express_looks_good,表示长得好看,开放性对话,
你是我见过最帅的人,express_looks_good,表示长得好看,开放性对话,
你很美丽大方,express_looks_good,表示长得好看,开放性对话,
你是我见过最精神的小伙,express_looks_good,表示长得好看,开放性对话,
你太帅了,express_looks_good,表示长得好看,开放性对话,
你真好看,express_looks_good,表示长得好看,开放性对话,
你在我心中是最美,express_looks_good,表示长得好看,开放性对话,
你看起来状态很好,express_state_good,表示状态好,开放性对话,
你的状态看起来很好,express_state_good,表示状态好,开放性对话,
你的状态很不错,express_state_good,表示状态好,开放性对话,
你这状态可以啊,express_state_good,表示状态好,开放性对话,
状态很好，继续保持吧,express_state_good,表示状态好,开放性对话,
你要继续现在的好状态,express_state_good,表示状态好,开放性对话,
今天的这个状态很好,express_state_good,表示状态好,开放性对话,
你的状态很不错,express_state_good,表示状态好,开放性对话,
不错不错，你的状态很好呀,express_state_good,表示状态好,开放性对话,
哇，你今天状态怎么这么好呀,express_state_good,表示状态好,开放性对话,
你好高兴啊,express_know_you_happy,表示知道你高兴,开放性对话,
看的出来你很高兴,express_know_you_happy,表示知道你高兴,开放性对话,
你怎么看着这么高兴啊,express_know_you_happy,表示知道你高兴,开放性对话,
" 你的样子很开心嘛",express_know_you_happy,表示知道你高兴,开放性对话,
你的兴奋都写在脸上了,express_know_you_happy,表示知道你高兴,开放性对话,
你现在脸上就有高兴两个字,express_know_you_happy,表示知道你高兴,开放性对话,
你很开心吧，我看的出来,express_know_you_happy,表示知道你高兴,开放性对话,
我知道你很高兴,express_know_you_happy,表示知道你高兴,开放性对话,
他跟我说了你很高兴,express_know_you_happy,表示知道你高兴,开放性对话,
看的出来你的高兴呀,express_know_you_happy,表示知道你高兴,开放性对话,
看来你是真的开心,express_know_you_happy,表示知道你高兴,开放性对话,
看你的表情就知道，你的开心是真的,express_know_you_happy,表示知道你高兴,开放性对话,
嘿你知道吗我喜欢你,express_like_you,表示喜欢你,开放性对话,
我爱你,express_like_you,表示喜欢你,开放性对话,
我喜欢你！,express_like_you,表示喜欢你,开放性对话,
我已经喜欢你很久了,express_like_you,表示喜欢你,开放性对话,
你有感觉到我对你的喜欢吗,express_like_you,表示喜欢你,开放性对话,
我真的很喜欢你,express_like_you,表示喜欢你,开放性对话,
很喜欢和你在一起,express_like_you,表示喜欢你,开放性对话,
喜欢我们在一起的日子,express_like_you,表示喜欢你,开放性对话,
我对你很有好感,express_like_you,表示喜欢你,开放性对话,
从见到你的第一眼就开始喜欢你了,express_like_you,表示喜欢你,开放性对话,
和你聊天很开心,express_nice_talk,表示聊天愉快,开放性对话,
我们很聊得来，真开心,express_nice_talk,表示聊天愉快,开放性对话,
很高兴和你聊这么久,express_nice_talk,表示聊天愉快,开放性对话,
和你聊天很愉快,express_nice_talk,表示聊天愉快,开放性对话,
这是愉快的聊天,express_nice_talk,表示聊天愉快,开放性对话,
和你聊天真的是相谈甚欢,express_nice_talk,表示聊天愉快,开放性对话,
很开心你陪我聊这么久,express_nice_talk,表示聊天愉快,开放性对话,
和你交流的这么开心，我很高兴,express_nice_talk,表示聊天愉快,开放性对话,
今天和你聊的很高兴,express_nice_talk,表示聊天愉快,开放性对话,
你聊天可真会逗我开心,express_nice_talk,表示聊天愉快,开放性对话,
你人真好,express_person_good,表示人好,开放性对话,
你是个好人,express_person_good,表示人好,开放性对话,
你真的好善良,express_person_good,表示人好,开放性对话,
你真是一个善良的好人,express_person_good,表示人好,开放性对话,
你的性格真好,express_person_good,表示人好,开放性对话,
性格很随和啊你,express_person_good,表示人好,开放性对话,
在我看来，你真的是个好人,express_person_good,表示人好,开放性对话,
你是我认识的人里人品最好的,express_person_good,表示人好,开放性对话,
你人真的是我见过最好的,express_person_good,表示人好,开放性对话,
你这个人怎么能这么善良,express_person_good,表示人好,开放性对话,
操你妈,express_mood_angry,表示情绪愤怒,开放性对话,
滚,express_mood_angry,表示情绪愤怒,开放性对话,
你把我当白痴吗,express_mood_angry,表示情绪愤怒,开放性对话,
气死我,express_mood_angry,表示情绪愤怒,开放性对话,
什么你疯了吗,express_mood_angry,表示情绪愤怒,开放性对话,
你滚吧,express_mood_angry,表示情绪愤怒,开放性对话,
赶紧滚出去,express_mood_angry,表示情绪愤怒,开放性对话,
我不想看见你，你给我滚,express_mood_angry,表示情绪愤怒,开放性对话,
你就是个傻逼吧,express_mood_angry,表示情绪愤怒,开放性对话,
怎么会有你这种白痴,express_mood_angry,表示情绪愤怒,开放性对话,
你来和我一起住吧,express_share,表示分享物品,开放性对话,
送给你一个礼物,express_share,表示分享物品,开放性对话,
我把这个玩具送给你吧,express_share,表示分享物品,开放性对话,
我们来分一下这个月的红利吧,express_share,表示分享物品,开放性对话,
这个蛋糕太大了，我们一人一半,express_share,表示分享物品,开放性对话,
这个苹果给你一半,express_share,表示分享物品,开放性对话,
这个饮料我们一起喝吧,express_share,表示分享物品,开放性对话,
我们今天一起看这部电影吧，我有资源,express_share,表示分享物品,开放性对话,
你用我这个鼠标吧,express_share,表示分享物品,开放性对话,
这瓶水给你,express_share,表示分享物品,开放性对话,
好难,express_bad,表示糟糕,开放性对话,
很不好,express_bad,表示糟糕,开放性对话,
太糟糕了,express_bad,表示糟糕,开放性对话,
这个情况太差了,express_bad,表示糟糕,开放性对话,
真的不是好的,express_bad,表示糟糕,开放性对话,
太惨了,express_bad,表示糟糕,开放性对话,
天气太坏了,express_bad,表示糟糕,开放性对话,
又下雨了,express_bad,表示糟糕,开放性对话,
我好难过,express_bad,表示糟糕,开放性对话,
这个饮料真是够难喝的,express_bad,表示糟糕,开放性对话,
我很难过,express_sad,表示伤心,开放性对话,
这是个悲伤的消息,express_sad,表示伤心,开放性对话,
我现在悲痛万分,express_sad,表示伤心,开放性对话,
伤心欲绝都不能表示我现在的心情,express_sad,表示伤心,开放性对话,
没有人可以理解我心里的痛苦,express_sad,表示伤心,开放性对话,
